CASO,TIPOCASO,FECHACREADO,FECHAPORAPROBAR,SEDEUSUARIO,NOMBREGRUPORESOLUTOR,VENCIDO,RECHAZADO,SATISFACCION,CASO
SR4214485,SR,5-nov-24,18-nov-24,SERVICIOS NUTRESA - MEDELLIN- PLANTA NOEL,CONECTIVIDAD SENCINET,No,No,0,1
SR4227268,SR,14-nov-24,18-nov-24,SERVICIOS NUTRESA - MEDELLIN- PLANTA NOEL,CONECTIVIDAD SENCINET,No,No,0,1
SR4282719,SR,20-dic-24,27-dic-24,SERVICIOS NUTRESA - MEDELLIN- PLANTA NOEL,CONECTIVIDAD SENCINET,No,No,0,1
SR4219994,SR,8-nov-24,13-nov-24,SERVICIOS NUTRESA - MEDELLIN- PLANTA NOEL,CONECTIVIDAD SENCINET,No,No,0,1
SR4200397,SR,25-oct-24,30-oct-24,SERVICIOS NUTRESA - MEDELLIN- PLANTA NOEL,CONECTIVIDAD SENCINET,No,No,0,1
SR4227297,SR,14-nov-24,18-nov-24,SERVICIOS NUTRESA - MEDELLIN- PLANTA NOEL,CONECTIVIDAD SENCINET,No,No,0,1
SR4187914,SR,16-oct-24,24-oct-24,SERVICIOS NUTRESA - MEDELLIN- PLANTA NOEL,CONECTIVIDAD SENCINET,No,No,0,1
SR4129123,SR,10-sep-24,11-sep-24,SERVICIOS NUTRESA - MEDELLIN- PLANTA NOEL,CONECTIVIDAD SENCINET,No,No,0,1
SR4260929,SR,5-dic-24,6-dic-24,SERVICIOS NUTRESA - MEDELLIN- PLANTA NOEL,CONECTIVIDAD SENCINET,No,No,0,1
SR4160481,SR,30-sep-24,30-sep-24,SERVICIOS NUTRESA - MEDELLIN- PLANTA NOEL,CONECTIVIDAD SENCINET,No,No,0,1
SR4227319,SR,14-nov-24,18-nov-24,SERVICIOS NUTRESA - MEDELLIN- PLANTA NOEL,CONECTIVIDAD SENCINET,No,No,0,1
SR4103059,SR,27-ago-24,10-sep-24,SERVICIOS NUTRESA - MEDELLIN- PLANTA NOEL,CONECTIVIDAD SENCINET,No,No,0,1
SR4134570,SR,13-sep-24,19-sep-24,SERVICIOS NUTRESA - MEDELLIN- PLANTA NOEL,CONECTIVIDAD SENCINET,No,No,0,1
SR4172841,SR,7-oct-24,9-oct-24,COMERCIAL NUTRESA - MEDELLIN- MULTICOMPANIA GUAYABAL,CONECTIVIDAD SENCINET,No,No,0,1
SR4190063,SR,18-oct-24,29-oct-24,SERVICIOS NUTRESA - MEDELLIN- PLANTA NOEL,CONECTIVIDAD SENCINET,No,No,0,1
SR4243084,SR,22-nov-24,26-nov-24,SERVICIOS NUTRESA - PLANTA BOGOTA CHOCOLATES,CONECTIVIDAD SENCINET,No,No,5,1
SR4182607,SR,11-oct-24,15-oct-24,ALIMENTOS CARNICOS - MEDELLIN MULTICOMPANIA,CONECTIVIDAD SENCINET,No,No,0,1
SR4212049,SR,1-nov-24,15-nov-24,SERVICIOS NUTRESA - MEDELLIN- PLANTA NOEL,CONECTIVIDAD SENCINET,No,No,0,1
SR4218271,SR,7-nov-24,8-nov-24,SERVICIOS NUTRESA - MEDELLIN- PLANTA NOEL,CONECTIVIDAD SENCINET,No,No,0,1
SR4244265,SR,25-nov-24,25-nov-24,ALIMENTOS CARNICOS - MEDELLIN MULTICOMPANIA,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR4219750,SR,8-nov-24,8-nov-24,ALIMENTOS CARNICOS - MEDELLIN- MULTICOMPANIA GUAYABAL,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR4285968,SR,23-dic-24,23-dic-24,ALIMENTOS CARNICOS - MEDELLIN MULTICOMPANIA,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR4244273,SR,25-nov-24,25-nov-24,ALIMENTOS CARNICOS - MEDELLIN- MULTICOMPANIA GUAYABAL,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR4249623,SR,28-nov-24,28-nov-24,ALIMENTOS CARNICOS - MEDELLIN MULTICOMPANIA,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR4249625,SR,28-nov-24,28-nov-24,ALIMENTOS CARNICOS - MEDELLIN- MULTICOMPANIA GUAYABAL,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR4201487,SR,26-oct-24,26-oct-24,ALIMENTOS CARNICOS - MEDELLIN- MULTICOMPANIA GUAYABAL,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR4088690,SR,17-ago-24,17-ago-24,ALIMENTOS CARNICOS - BOGOTA- PLANTA CARNICOS,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR4096558,SR,23-ago-24,23-ago-24,COMERCIAL NUTRESA - MEDELLIN- MULTICOMPANIA GUAYABAL,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR4060508,SR,31-jul-24,24-sep-24,COMERCIAL NUTRESA - BOGOTA- OPERADOR LOGISTICO,SOPORTE TECNICO A USUARIOS,No,No,0,1
SR4061309,SR,1-ago-24,14-ago-24,SERVICIOS NUTRESA - MEDELLIN- PLANTA NOEL,SOPORTE TECNICO A USUARIOS,No,No,0,1
SR4178952,SR,9-oct-24,15-oct-24,SERVICIOS NUTRESA - DOSQUEBRADAS,CONECTIVIDAD SENCINET,No,No,0,1
SR4192744,SR,21-oct-24,28-oct-24,INDUSTRIA COLOMBIANA DE CAFE COLCAFE - MEDELLIN - PLANTA CAFE,CONECTIVIDAD SENCINET,No,No,0,1
SR4118231,SR,5-sep-24,12-sep-24,SERVICIOS NUTRESA - MEDELLIN- PLANTA NOEL,CONECTIVIDAD SENCINET,No,No,0,1
SR4106894,SR,29-ago-24,4-sep-24,SERVICIOS NUTRESA - CALI,CONECTIVIDAD SENCINET,No,No,0,1
SR4118219,SR,5-sep-24,12-sep-24,SERVICIOS NUTRESA - MEDELLIN- PLANTA NOEL,CONECTIVIDAD SENCINET,No,No,0,1
SR4117840,SR,4-sep-24,26-sep-24,SERVICIOS NUTRESA - MEDELLIN- PLANTA NOEL,CONECTIVIDAD SENCINET,No,No,0,1
SR4277306,SR,19-dic-24,19-dic-24,SETAS COLOMBIANAS - MEDELLIN - OFICINA CENTRAL SETAS,SOPORTE TECNICO A USUARIOS,No,No,0,1
SR4239144,SR,20-nov-24,20-nov-24,SETAS COLOMBIANAS - MEDELLIN - OFICINA CENTRAL SETAS,SOPORTE TECNICO A USUARIOS,No,No,0,1
SR4155792,SR,26-sep-24,26-sep-24,ALIMENTOS CARNICOS - ENVIGADO- PLANTA CARNICOS,SOPORTE TECNICO A USUARIOS,No,No,0,1
SR4171116,SR,4-oct-24,4-oct-24,ALIMENTOS CARNICOS - LA CEJA- PLANTA CARNICOS,SOPORTE TECNICO A USUARIOS,No,No,0,1
SR4219051,SR,7-nov-24,7-nov-24,INDUSTRIA DE ALIMENTOS ZENU - MEDELLIN - PLANTA,SOPORTE TECNICO A USUARIOS,No,No,0,1
SR4262236,SR,6-dic-24,6-dic-24,INDUSTRIA DE ALIMENTOS ZENU - MEDELLIN - MULTICOMPANIA,SOPORTE TECNICO A USUARIOS,No,No,0,1
SR4063254,SR,2-ago-24,2-ago-24,INDUSTRIA DE ALIMENTOS ZENU - MEDELLIN - PLANTA,SOPORTE TECNICO A USUARIOS,No,No,0,1
