CASO,TIPOCASO,FECHACREADO,FECHAPORAPROBAR,SEDEUSUARIO,NOMBREGRUPORESOLUTOR,VENCIDO,RECHAZADO,SATISFACCION,CASO
SR4026523,SR,10-jul-24,10-jul-24,COMERCIAL NUTRESA - MEDELLIN- MULTICOMPANIA GUAYABAL,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR4183755,SR,15-oct-24,15-oct-24,COMERCIAL NUTRESA - MEDELLIN- MULTICOMPANIA GUAYABAL,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR3934442,SR,14-may-24,14-may-24,COMERCIAL NUTRESA - MEDELLIN- MULTICOMPANIA GUAYABAL,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR3838204,SR,11-mar-24,11-mar-24,COMERCIAL NUTRESA - MEDELLIN- MULTICOMPANIA GUAYABAL,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR3792271,SR,13-feb-24,13-feb-24,COMERCIAL NUTRESA - MEDELLIN- MULTICOMPANIA GUAYABAL,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR4030979,SR,12-jul-24,12-jul-24,COMERCIAL NUTRESA - MEDELLIN- MULTICOMPANIA GUAYABAL,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR3867815,SR,3-abr-24,3-abr-24,COMERCIAL NUTRESA - MEDELLIN- MULTICOMPANIA GUAYABAL,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR3945643,SR,20-may-24,20-may-24,COMERCIAL NUTRESA - MEDELLIN- MULTICOMPANIA GUAYABAL,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR3856492,SR,22-mar-24,22-mar-24,COMERCIAL NUTRESA - MEDELLIN- MULTICOMPANIA GUAYABAL,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR3845228,SR,14-mar-24,14-mar-24,ALIMENTOS CARNICOS - ENVIGADO- PLANTA CARNICOS,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR3820753,SR,29-feb-24,29-feb-24,COMERCIAL NUTRESA - MEDELLIN- MULTICOMPANIA GUAYABAL,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR3901980,SR,20-abr-24,20-abr-24,ALIMENTOS CARNICOS - ENVIGADO- PLANTA CARNICOS,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR3834399,SR,7-mar-24,7-mar-24,ALIMENTOS CARNICOS - MEDELLIN- MULTICOMPANIA GUAYABAL,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR3866303,SR,2-abr-24,2-abr-24,ALIMENTOS CARNICOS - ENVIGADO- PLANTA CARNICOS,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR4258243,SR,4-dic-24,4-dic-24,ALIMENTOS CARNICOS - MEDELLIN- MULTICOMPANIA GUAYABAL,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR4266166,SR,10-dic-24,10-dic-24,ALIMENTOS CARNICOS - MEDELLIN- MULTICOMPANIA GUAYABAL,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR4256491,SR,3-dic-24,3-dic-24,ALIMENTOS CARNICOS - ENVIGADO- PLANTA CARNICOS,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR4024420,SR,9-jul-24,9-jul-24,ALIMENTOS CARNICOS - MEDELLIN- MULTICOMPANIA GUAYABAL,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR4043306,SR,20-jul-24,20-jul-24,ALIMENTOS CARNICOS - ENVIGADO- PLANTA CARNICOS,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR3952606,SR,24-may-24,24-may-24,ALIMENTOS CARNICOS - MEDELLIN- MULTICOMPANIA GUAYABAL,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR3996769,SR,21-jun-24,21-jun-24,ALIMENTOS CARNICOS - ENVIGADO- PLANTA CARNICOS,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR4112866,SR,2-sep-24,2-sep-24,ALIMENTOS CARNICOS - MEDELLIN- MULTICOMPANIA GUAYABAL,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR4018411,SR,5-jul-24,5-jul-24,ALIMENTOS CARNICOS - AGUACHICA- PLANTA CARNICOS,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR4270748,SR,13-dic-24,13-dic-24,ALIMENTOS CARNICOS - MEDELLIN- MULTICOMPANIA GUAYABAL,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR4254709,SR,2-dic-24,2-dic-24,ALIMENTOS CARNICOS - ENVIGADO- PLANTA CARNICOS,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR3863588,SR,1-abr-24,1-abr-24,ALIMENTOS CARNICOS - MEDELLIN- MULTICOMPANIA GUAYABAL,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR3894524,SR,17-abr-24,17-abr-24,ALIMENTOS CARNICOS - ENVIGADO- PLANTA CARNICOS,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR4176887,SR,8-oct-24,8-oct-24,ALIMENTOS CARNICOS - MEDELLIN- MULTICOMPANIA GUAYABAL,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR4191941,SR,21-oct-24,21-oct-24,ALIMENTOS CARNICOS - ENVIGADO- PLANTA CARNICOS,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR4183690,SR,15-oct-24,15-oct-24,ALIMENTOS CARNICOS - MEDELLIN- MULTICOMPANIA GUAYABAL,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR4013886,SR,3-jul-24,3-jul-24,ALIMENTOS CARNICOS - MEDELLIN- MULTICOMPANIA GUAYABAL,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR4031109,SR,12-jul-24,12-jul-24,ALIMENTOS CARNICOS - AGUACHICA- PLANTA CARNICOS,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR4271977,SR,16-dic-24,16-dic-24,ALIMENTOS CARNICOS - MEDELLIN- MULTICOMPANIA GUAYABAL,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR4235010,SR,18-nov-24,18-nov-24,ALIMENTOS CARNICOS - ENVIGADO- PLANTA CARNICOS,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR3758371,SR,20-ene-24,20-ene-24,ALIMENTOS CARNICOS - MEDELLIN- MULTICOMPANIA GUAYABAL,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR3991282,SR,18-jun-24,18-jun-24,ALIMENTOS CARNICOS - MEDELLIN- MULTICOMPANIA GUAYABAL,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR4191948,SR,21-oct-24,21-oct-24,ALIMENTOS CARNICOS - MEDELLIN- MULTICOMPANIA GUAYABAL,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR4267264,SR,11-dic-24,11-dic-24,ALIMENTOS CARNICOS - MEDELLIN- MULTICOMPANIA GUAYABAL,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR3975782,SR,11-jun-24,11-jun-24,ALIMENTOS CARNICOS - AGUACHICA- PLANTA CARNICOS,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR4147320,SR,23-sep-24,23-sep-24,ALIMENTOS CARNICOS - MEDELLIN- MULTICOMPANIA GUAYABAL,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR4179908,SR,10-oct-24,10-oct-24,ALIMENTOS CARNICOS - MEDELLIN- MULTICOMPANIA GUAYABAL,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR4031047,SR,12-jul-24,12-jul-24,ALIMENTOS CARNICOS - ENVIGADO- PLANTA CARNICOS,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR4144255,SR,19-sep-24,19-sep-24,ALIMENTOS CARNICOS - MEDELLIN- MULTICOMPANIA GUAYABAL,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR4270762,SR,13-dic-24,13-dic-24,ALIMENTOS CARNICOS - ENVIGADO- PLANTA CARNICOS,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR3761897,SR,23-ene-24,23-ene-24,ALIMENTOS CARNICOS - AGUACHICA- PLANTA CARNICOS,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR4229161,SR,15-nov-24,15-nov-24,ALIMENTOS CARNICOS - MEDELLIN- MULTICOMPANIA GUAYABAL,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR4238681,SR,20-nov-24,20-nov-24,ALIMENTOS CARNICOS - MEDELLIN- MULTICOMPANIA GUAYABAL,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR4238903,SR,20-nov-24,20-nov-24,ALIMENTOS CARNICOS - ENVIGADO- PLANTA CARNICOS,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR4263229,SR,7-dic-24,7-dic-24,ALIMENTOS CARNICOS - MEDELLIN- MULTICOMPANIA GUAYABAL,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR3778282,SR,5-feb-24,5-feb-24,ALIMENTOS CARNICOS - ENVIGADO- PLANTA CARNICOS,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR3787762,SR,9-feb-24,9-feb-24,ALIMENTOS CARNICOS - ENVIGADO- PLANTA CARNICOS,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR4181277,SR,11-oct-24,11-oct-24,ALIMENTOS CARNICOS - ENVIGADO- PLANTA CARNICOS,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR3991278,SR,18-jun-24,18-jun-24,ALIMENTOS CARNICOS - ENVIGADO- PLANTA CARNICOS,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR3784421,SR,8-feb-24,8-feb-24,ALIMENTOS CARNICOS - ENVIGADO- PLANTA CARNICOS,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR3808166,SR,22-feb-24,22-feb-24,ALIMENTOS CARNICOS - ENVIGADO- PLANTA CARNICOS,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR3971527,SR,6-jun-24,6-jun-24,ALIMENTOS CARNICOS - MEDELLIN- MULTICOMPANIA GUAYABAL,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR4151483,SR,24-sep-24,24-sep-24,ALIMENTOS CARNICOS - ENVIGADO- PLANTA CARNICOS,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR4251512,SR,29-nov-24,29-nov-24,ALIMENTOS CARNICOS - MEDELLIN- MULTICOMPANIA GUAYABAL,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR3789833,SR,12-feb-24,12-feb-24,ALIMENTOS CARNICOS - MEDELLIN- MULTICOMPANIA GUAYABAL,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR4155939,SR,26-sep-24,26-sep-24,ALIMENTOS CARNICOS - AGUACHICA- PLANTA CARNICOS,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR4237255,SR,19-nov-24,19-nov-24,ALIMENTOS CARNICOS - ENVIGADO- PLANTA CARNICOS,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR3755997,SR,19-ene-24,19-ene-24,ALIMENTOS CARNICOS - ENVIGADO- PLANTA CARNICOS,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR3851599,SR,19-mar-24,19-mar-24,ALIMENTOS CARNICOS - MEDELLIN- MULTICOMPANIA GUAYABAL,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR4172348,SR,7-oct-24,7-oct-24,ALIMENTOS CARNICOS - MEDELLIN- MULTICOMPANIA GUAYABAL,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR4019995,SR,6-jul-24,6-jul-24,ALIMENTOS CARNICOS - MEDELLIN- MULTICOMPANIA GUAYABAL,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR3830688,SR,5-mar-24,5-mar-24,ALIMENTOS CARNICOS - MONTERIA,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR4094710,SR,22-ago-24,22-ago-24,ALIMENTOS CARNICOS - MEDELLIN- MULTICOMPANIA GUAYABAL,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR4276375,SR,18-dic-24,18-dic-24,ALIMENTOS CARNICOS - ENVIGADO- PLANTA CARNICOS,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR4142692,SR,18-sep-24,18-sep-24,ALIMENTOS CARNICOS - MEDELLIN- MULTICOMPANIA GUAYABAL,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR3741805,SR,10-ene-24,10-ene-24,ALIMENTOS CARNICOS - MEDELLIN- MULTICOMPANIA GUAYABAL,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR3733920,SR,3-ene-24,3-ene-24,ALIMENTOS CARNICOS - ENVIGADO- PLANTA CARNICOS,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR3838253,SR,11-mar-24,11-mar-24,ALIMENTOS CARNICOS - ENVIGADO- PLANTA CARNICOS,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR3853386,SR,20-mar-24,20-mar-24,ALIMENTOS CARNICOS - ENVIGADO- PLANTA CARNICOS,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR3879126,SR,10-abr-24,10-abr-24,ALIMENTOS CARNICOS - ENVIGADO- PLANTA CARNICOS,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR4183694,SR,15-oct-24,15-oct-24,ALIMENTOS CARNICOS - ENVIGADO- PLANTA CARNICOS,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR4190593,SR,18-oct-24,18-oct-24,ALIMENTOS CARNICOS - ENVIGADO- PLANTA CARNICOS,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR3740835,SR,9-ene-24,9-ene-24,ALIMENTOS CARNICOS - ENVIGADO- PLANTA CARNICOS,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR3812615,SR,26-feb-24,26-feb-24,ALIMENTOS CARNICOS - ENVIGADO- PLANTA CARNICOS,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR3895750,SR,18-abr-24,18-abr-24,ALIMENTOS CARNICOS - MEDELLIN- MULTICOMPANIA GUAYABAL,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR3866299,SR,2-abr-24,2-abr-24,ALIMENTOS CARNICOS - MEDELLIN- MULTICOMPANIA GUAYABAL,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR4265453,SR,10-dic-24,10-dic-24,ALIMENTOS CARNICOS - MEDELLIN- MULTICOMPANIA GUAYABAL,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR3755993,SR,19-ene-24,19-ene-24,ALIMENTOS CARNICOS - ENVIGADO- PLANTA CARNICOS,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR3751144,SR,16-ene-24,16-ene-24,ALIMENTOS CARNICOS - MEDELLIN- MULTICOMPANIA GUAYABAL,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR3872143,SR,5-abr-24,5-abr-24,ALIMENTOS CARNICOS - ENVIGADO- PLANTA CARNICOS,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR3941318,SR,16-may-24,16-may-24,ALIMENTOS CARNICOS - MEDELLIN- MULTICOMPANIA GUAYABAL,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR3994977,SR,20-jun-24,20-jun-24,ALIMENTOS CARNICOS - ENVIGADO- PLANTA CARNICOS,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR4182775,SR,12-oct-24,12-oct-24,ALIMENTOS CARNICOS - ENVIGADO- PLANTA CARNICOS,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR4038548,SR,18-jul-24,18-jul-24,ALIMENTOS CARNICOS - MEDELLIN- MULTICOMPANIA GUAYABAL,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR3810426,SR,23-feb-24,23-feb-24,ALIMENTOS CARNICOS - MEDELLIN- MULTICOMPANIA GUAYABAL,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR4001080,SR,25-jun-24,25-jun-24,ALIMENTOS CARNICOS - ENVIGADO- PLANTA CARNICOS,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR4096740,SR,23-ago-24,23-ago-24,ALIMENTOS CARNICOS - MEDELLIN- MULTICOMPANIA GUAYABAL,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR4261616,SR,6-dic-24,6-dic-24,ALIMENTOS CARNICOS - ENVIGADO- PLANTA CARNICOS,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR3759054,SR,22-ene-24,22-ene-24,ALIMENTOS CARNICOS - MEDELLIN- MULTICOMPANIA GUAYABAL,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR3975772,SR,11-jun-24,11-jun-24,ALIMENTOS CARNICOS - ENVIGADO- PLANTA CARNICOS,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR4159873,SR,30-sep-24,30-sep-24,ALIMENTOS CARNICOS - ENVIGADO- PLANTA CARNICOS,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR4242952,SR,22-nov-24,22-nov-24,ALIMENTOS CARNICOS - ENVIGADO- PLANTA CARNICOS,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR3866692,SR,2-abr-24,2-abr-24,ALIMENTOS CARNICOS - MONTERIA,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR4140792,SR,17-sep-24,17-sep-24,ALIMENTOS CARNICOS - ENVIGADO- PLANTA CARNICOS,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR3825312,SR,2-mar-24,2-mar-24,ALIMENTOS CARNICOS - MEDELLIN- MULTICOMPANIA GUAYABAL,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR3939604,SR,15-may-24,15-may-24,ALIMENTOS CARNICOS - ENVIGADO- PLANTA CARNICOS,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR4152206,SR,24-sep-24,24-sep-24,ALIMENTOS CARNICOS - MEDELLIN- MULTICOMPANIA GUAYABAL,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR3736430,SR,5-ene-24,5-ene-24,ALIMENTOS CARNICOS - MEDELLIN- MULTICOMPANIA GUAYABAL,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR3974505,SR,8-jun-24,8-jun-24,ALIMENTOS CARNICOS - ENVIGADO- PLANTA CARNICOS,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR4085234,SR,16-ago-24,16-ago-24,ALIMENTOS CARNICOS - ENVIGADO- PLANTA CARNICOS,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR3829304,SR,5-mar-24,5-mar-24,ALIMENTOS CARNICOS - MEDELLIN- MULTICOMPANIA GUAYABAL,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR4115336,SR,3-sep-24,3-sep-24,ALIMENTOS CARNICOS - MEDELLIN- MULTICOMPANIA GUAYABAL,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR3766765,SR,26-ene-24,26-ene-24,ALIMENTOS CARNICOS - MONTERIA,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR3886126,SR,13-abr-24,13-abr-24,ALIMENTOS CARNICOS - MEDELLIN- MULTICOMPANIA GUAYABAL,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR3956969,SR,27-may-24,27-may-24,ALIMENTOS CARNICOS - MEDELLIN- MULTICOMPANIA GUAYABAL,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR3731614,SR,2-ene-24,2-ene-24,ALIMENTOS CARNICOS - MEDELLIN- MULTICOMPANIA GUAYABAL,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR4125443,SR,9-sep-24,9-sep-24,ALIMENTOS CARNICOS - MEDELLIN- MULTICOMPANIA GUAYABAL,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR4134796,SR,13-sep-24,13-sep-24,ALIMENTOS CARNICOS - MEDELLIN- MULTICOMPANIA GUAYABAL,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR4135891,SR,14-sep-24,14-sep-24,ALIMENTOS CARNICOS - ENVIGADO- PLANTA CARNICOS,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR3740847,SR,9-ene-24,9-ene-24,ALIMENTOS CARNICOS - ENVIGADO- PLANTA CARNICOS,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR3992264,SR,19-jun-24,19-jun-24,ALIMENTOS CARNICOS - ENVIGADO- PLANTA CARNICOS,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR4085237,SR,16-ago-24,16-ago-24,ALIMENTOS CARNICOS - MEDELLIN- MULTICOMPANIA GUAYABAL,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR3969489,SR,5-jun-24,5-jun-24,ALIMENTOS CARNICOS - ENVIGADO- PLANTA CARNICOS,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR4121501,SR,6-sep-24,6-sep-24,ALIMENTOS CARNICOS - MEDELLIN- MULTICOMPANIA GUAYABAL,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR4112863,SR,2-sep-24,2-sep-24,ALIMENTOS CARNICOS - ENVIGADO- PLANTA CARNICOS,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR4176931,SR,8-oct-24,8-oct-24,ALIMENTOS CARNICOS - AGUACHICA- PLANTA CARNICOS,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR4201342,SR,26-oct-24,26-oct-24,ALIMENTOS CARNICOS - MEDELLIN- MULTICOMPANIA GUAYABAL,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR4256495,SR,3-dic-24,3-dic-24,ALIMENTOS CARNICOS - MEDELLIN- MULTICOMPANIA GUAYABAL,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR4284239,SR,21-dic-24,21-dic-24,ALIMENTOS CARNICOS - MEDELLIN- MULTICOMPANIA GUAYABAL,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR3952613,SR,24-may-24,24-may-24,ALIMENTOS CARNICOS - ENVIGADO- PLANTA CARNICOS,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR4194409,SR,22-oct-24,22-oct-24,ALIMENTOS CARNICOS - MEDELLIN- MULTICOMPANIA GUAYABAL,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR4024397,SR,9-jul-24,9-jul-24,ALIMENTOS CARNICOS - ENVIGADO- PLANTA CARNICOS,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR3800949,SR,17-feb-24,17-feb-24,ALIMENTOS CARNICOS - MEDELLIN- MULTICOMPANIA GUAYABAL,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR4036275,SR,17-jul-24,17-jul-24,ALIMENTOS CARNICOS - MEDELLIN- MULTICOMPANIA GUAYABAL,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR3862982,SR,30-mar-24,30-mar-24,ALIMENTOS CARNICOS - MEDELLIN- MULTICOMPANIA GUAYABAL,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR3754455,SR,18-ene-24,18-ene-24,ALIMENTOS CARNICOS - MEDELLIN- MULTICOMPANIA GUAYABAL,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR4171101,SR,4-oct-24,4-oct-24,ALIMENTOS CARNICOS - MEDELLIN- MULTICOMPANIA GUAYABAL,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR3998260,SR,22-jun-24,22-jun-24,ALIMENTOS CARNICOS - MEDELLIN- MULTICOMPANIA GUAYABAL,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR4250317,SR,28-nov-24,28-nov-24,ALIMENTOS CARNICOS - ENVIGADO- PLANTA CARNICOS,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR3957052,SR,27-may-24,27-may-24,MOLINOS SANTA MARTA - PLANTA BUGA,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR4057088,SR,29-jul-24,29-jul-24,COMPANIA DE GALLETAS NOEL - MEDELLIN - PLANTA NOEL,SOPORTE TECNICO A USUARIOS,No,No,0,1
SR3993237,SR,19-jun-24,19-jun-24,PASTAS COMARRICO - BARRANQUILLA - PLANTA,SOPORTE TECNICO A USUARIOS,No,No,0,1
SR4271611,SR,14-dic-24,14-dic-24,ALIMENTOS CARNICOS - MEDELLIN- MULTICOMPANIA GUAYABAL,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR3771721,SR,30-ene-24,30-ene-24,ALIMENTOS CARNICOS - MEDELLIN- MULTICOMPANIA GUAYABAL,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR3809500,SR,22-feb-24,22-feb-24,ALIMENTOS CARNICOS - ENVIGADO- PLANTA CARNICOS,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR4167101,SR,2-oct-24,2-oct-24,ALIMENTOS CARNICOS - MEDELLIN- MULTICOMPANIA GUAYABAL,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR4255717,SR,2-dic-24,2-dic-24,ALIMENTOS CARNICOS - MEDELLIN- MULTICOMPANIA GUAYABAL,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR3876502,SR,8-abr-24,8-abr-24,ALIMENTOS CARNICOS - MEDELLIN- MULTICOMPANIA GUAYABAL,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR3945267,SR,17-may-24,17-may-24,ALIMENTOS CARNICOS - MEDELLIN- MULTICOMPANIA GUAYABAL,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR4108014,SR,29-ago-24,29-ago-24,ALIMENTOS CARNICOS - ENVIGADO- PLANTA CARNICOS,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR3924781,SR,3-may-24,3-may-24,ALIMENTOS CARNICOS - MEDELLIN- MULTICOMPANIA GUAYABAL,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR3912490,SR,26-abr-24,26-abr-24,ALIMENTOS CARNICOS - MEDELLIN MULTICOMPANIA,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR4249567,SR,27-nov-24,27-nov-24,ALIMENTOS CARNICOS - ENVIGADO- PLANTA CARNICOS,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR4105185,SR,28-ago-24,28-ago-24,ALIMENTOS CARNICOS - ENVIGADO- PLANTA CARNICOS,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR3858095,SR,23-mar-24,23-mar-24,ALIMENTOS CARNICOS - MONTERIA,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR3836036,SR,8-mar-24,8-mar-24,ALIMENTOS CARNICOS - ENVIGADO- PLANTA CARNICOS,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR4160437,SR,30-sep-24,30-sep-24,ALIMENTOS CARNICOS - ENVIGADO- PLANTA CARNICOS,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR4116556,SR,3-sep-24,3-sep-24,ALIMENTOS CARNICOS - MEDELLIN- MULTICOMPANIA GUAYABAL,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR3746139,SR,11-ene-24,11-ene-24,ALIMENTOS CARNICOS - MONTERIA,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR4059140,SR,30-jul-24,30-jul-24,ALIMENTOS CARNICOS - AGUACHICA- PLANTA CARNICOS,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR3767268,SR,26-ene-24,26-ene-24,ALIMENTOS CARNICOS - MEDELLIN- MULTICOMPANIA GUAYABAL,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR3819670,SR,28-feb-24,28-feb-24,ALIMENTOS CARNICOS - ENVIGADO- PLANTA CARNICOS,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR3958653,SR,27-may-24,27-may-24,ALIMENTOS CARNICOS - MEDELLIN- MULTICOMPANIA GUAYABAL,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR4145195,SR,19-sep-24,19-sep-24,ALIMENTOS CARNICOS - MEDELLIN- MULTICOMPANIA GUAYABAL,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR3758732,SR,22-ene-24,22-ene-24,ALIMENTOS CARNICOS - MEDELLIN- MULTICOMPANIA GUAYABAL,SOPORTE TECNICO A USUARIOS,No,No,5,1
